PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl702,0,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,71904.73065,MPa ,224.894916,MPa ,270.596252,MPa ,6.797638018,%,T6,polished
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl703,0,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,71227.69287,MPa ,219.058318,MPa ,264.305609,MPa ,6.307269256,%,T6,polished
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH3_RTzl704,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,59863.9949498,MPa ,137.424633,MPa ,248.907403,MPa ,8.2380390164,%,T5,polished
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH3_RTzl705,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,72434.3877961,MPa ,138.564953,MPa ,249.487793,MPa ,8.17815517421,%,T5,polished
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH3_RTzl706,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,69234.936365,MPa ,137.412646,MPa ,248.229296,MPa ,7.31683662373,%,T5,polished
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl704,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,73150.46167,MPa ,246.483862,MPa ,292.839452,MPa ,7.090694867,%,T6,polished
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl705,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,74079.89018,MPa ,247.620551,MPa ,294.153748,MPa ,6.77829268,%,T6,polished
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl706,45,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,72802.00131,MPa ,244.592504,MPa ,291.803964,MPa ,7.68387802,%,T6,polished
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl707,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,69540.8431786,MPa ,144.747203,MPa ,245.491823,MPa ,10.9002708782,%,T5,polished
MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl708,90,9.0E-2,mm,______Standard_160324_only_up,false,20,°C,68669.7151961,MPa ,142.937419,MPa ,245.953141,MPa ,10.3905249915,%,T5,polished
