BWMD_00036_1,BWMD_00337_38,BWMD_00339_42,BWMD_00323_78,BWMD_00314_114,BWMD_00313_154
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_24,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,28.5,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_24,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,25.97,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,57,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,46,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,57,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_e9b3c45d-9d00-4f3e-9b6e-276cb442d7f1,46,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_41385712-98cb-4f6e-a1c1-9279f63681d5,30,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_41385712-98cb-4f6e-a1c1-9279f63681d5,26.1,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_20,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_41385712-98cb-4f6e-a1c1-9279f63681d5,30,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_20,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_41385712-98cb-4f6e-a1c1-9279f63681d5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_41385712-98cb-4f6e-a1c1-9279f63681d5,26.1,µm
