PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl705,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7407989018,MPa ,2.47621E+16,MPa ,294153748,MPa ,677829268,%,T6,polished,100,142,0,6406,3,343,7894
MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl706,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7280200131,MPa ,244592504,MPa ,291803964,MPa ,768387802,%,T6,polished,100,142,0,6406,3,343,7894
XY 45°,XY 45°,AHH5_RTzl704,45,3,mm,_Split,FALSCH,20,°C,7.91141E+11,MPa ,274171565,MPa ,427149546,MPa ,5.54321E+11,%,none,polished,100,142,0,0,3,343,1488
XY 45°,XY 45°,AHH5_RTzl705,45,3,mm,_Split,FALSCH,20,°C,7.53717E+11,MPa ,270053796,MPa ,407354831,MPa ,3.15585E+11,%,none,polished,100,142,0,0,3,343,1488
XY 45°,XY 45°,AHH5_RTzl706,45,3,mm,_Split,FALSCH,20,°C,7.18257E+11,MPa ,274070086,MPa ,400295477,MPa ,2.62662E+16,%,none,polished,100,142,0,0,3,343,1488
XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl704,45,3,mm,_Split,WAHR,20,°C,7.36152E+11,MPa ,1.65804E+16,MPa ,265824123,MPa ,1.65908E+11,%,T5,polished,100,142,0,462,3,343,195
XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl705,45,3,mm,_Split,WAHR,20,°C,7.09707E+15,MPa ,167615159,MPa ,267510246,MPa ,1.63171E+11,%,T5,polished,100,142,0,462,3,343,195
XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl706,45,3,mm,_Split,WAHR,20,°C,6.87294E+11,MPa ,168241803,MPa ,267932776,MPa ,1.59588E+11,%,T5,polished,100,142,0,462,3,343,195
Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl716,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.79174E+11,MPa ,2.51805E+16,MPa ,39449296,MPa ,2.48193E+16,%,none,polished,2473,141,0,0,3,44,2.661E+16
Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl717,90,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.98326E+11,MPa ,249941654,MPa ,373909071,MPa ,1.86137E+11,%,none,polished,2473,141,0,0,3,44,2.661E+16
