Idx,PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
20,MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH3_RTzl706,45,0.09,mm,______Standard_160324_only_up,False,20,°C,69234.936365,MPa ,137.412646,MPa ,248.229296,MPa ,7.31683662373,%,T5,polished,10.0,1.42,0.0,4.62,0.03,3.43,19.5
21,MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl704,45,0.09,mm,______Standard_160324_only_up,False,20,°C,73150.46167,MPa ,246.48386200000002,MPa ,292.839452,MPa ,7.090694867000001,%,T6,polished,10.0,1.42,0.0,64.06,0.03,3.43,78.94
22,MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl705,45,0.09,mm,______Standard_160324_only_up,False,20,°C,74079.89018,MPa ,247.62055099999998,MPa ,294.153748,MPa ,6.77829268,%,T6,polished,10.0,1.42,0.0,64.06,0.03,3.43,78.94
23,MEF-2 17-03-01 45°,MEF-2 17-03-01 45°,AHH4_RTzl706,45,0.09,mm,______Standard_160324_only_up,False,20,°C,72802.00131,MPa ,244.592504,MPa ,291.803964,MPa ,7.68387802,%,T6,polished,10.0,1.42,0.0,64.06,0.03,3.43,78.94
24,XY 45°,XY 45°,AHH5_RTzl704,45,0.03,mm,_Split,False,20,°C,79114.1309648,MPa ,274.171565,MPa ,427.149546,MPa ,5.54320911549,%,none,polished,10.0,1.42,0.0,0.0,0.03,3.43,14.88
25,XY 45°,XY 45°,AHH5_RTzl705,45,0.03,mm,_Split,False,20,°C,75371.7412957,MPa ,270.053796,MPa ,407.354831,MPa ,3.15584630389,%,none,polished,10.0,1.42,0.0,0.0,0.03,3.43,14.88
26,XY 45°,XY 45°,AHH5_RTzl706,45,0.03,mm,_Split,False,20,°C,71825.7317341,MPa ,274.070086,MPa ,400.295477,MPa ,2.6266223540799998,%,none,polished,10.0,1.42,0.0,0.0,0.03,3.43,14.88
27,XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl704,45,0.03,mm,_Split,True,20,°C,73615.1562244,MPa ,165.80408300000002,MPa ,265.824123,MPa ,16.5908336838,%,T5,polished,10.0,1.42,0.0,4.62,0.03,3.43,19.5
28,XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl705,45,0.03,mm,_Split,True,20,°C,70970.65411599999,MPa ,167.615159,MPa ,267.510246,MPa ,16.3170993095,%,T5,polished,10.0,1.42,0.0,4.62,0.03,3.43,19.5
29,XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl706,45,0.03,mm,_Split,True,20,°C,68729.3720094,MPa ,168.241803,MPa ,267.932776,MPa ,15.9588293946,%,T5,polished,10.0,1.42,0.0,4.62,0.03,3.43,19.5
30,Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl716,90,0.09,mm,______Standard_160324_only_up,False,20,°C,77917.4497315,MPa ,251.80507200000002,MPa ,394.49296,MPa ,2.4819270770400004,%,none,polished,24.73,1.41,0.0,0.0,0.03,0.44,26.610000000000007
31,Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl717,90,0.09,mm,______Standard_160324_only_up,False,20,°C,79832.6442428,MPa ,249.941654,MPa ,373.909071,MPa ,1.86136934836,%,none,polished,24.73,1.41,0.0,0.0,0.03,0.44,26.610000000000007
32,Statisch 90° - Static_8 - Nr. 1 ,Statisch 90° - Static_8 - Nr. 1 ,AHH1_RTzl718,90,0.09,mm,______Standard_160324_only_up,False,20,°C,77764.31247460001,MPa ,264.809973,MPa ,380.872031,MPa ,1.72404120335,%,none,polished,24.73,1.41,0.0,0.0,0.03,0.44,26.610000000000007
33,MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl707,90,0.09,mm,______Standard_160324_only_up,False,20,°C,69540.8431786,MPa ,144.747203,MPa ,245.491823,MPa ,10.900270878199999,%,T5,polished,24.73,1.41,0.0,4.62,0.03,0.44,31.230000000000004
34,MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl708,90,0.09,mm,______Standard_160324_only_up,False,20,°C,68669.71519609999,MPa ,142.937419,MPa ,245.95314100000002,MPa ,10.3905249915,%,T5,polished,24.73,1.41,0.0,4.62,0.03,0.44,31.230000000000004
35,MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH3_RTzl709,90,0.09,mm,______Standard_160324_only_up,False,20,°C,64438.346178199994,MPa ,144.947204,MPa ,245.83556600000003,MPa ,10.3559720652,%,T5,polished,24.73,1.41,0.0,4.62,0.03,0.44,31.230000000000004
36,MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl707,90,0.09,mm,______Standard_160324_only_up,False,20,°C,71352.89156,MPa ,244.14322599999997,MPa ,296.783375,MPa ,8.354070547000001,%,T6,polished,24.73,1.41,0.0,64.06,0.03,0.44,90.67
37,MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl708,90,0.09,mm,______Standard_160324_only_up,False,20,°C,72800.4471,MPa ,241.67531200000002,MPa ,296.55945499999996,MPa ,9.812186272,%,T6,polished,24.73,1.41,0.0,64.06,0.03,0.44,90.67
38,MEF-2 17-03-01 90°,MEF-2 17-03-01 90°,AHH4_RTzl709,90,0.09,mm,______Standard_160324_only_up,False,20,°C,70484.24683999999,MPa ,223.656792,MPa ,280.022983,MPa ,8.041127009,%,T6,polished,24.73,1.41,0.0,64.06,0.03,0.44,90.67
39,Z 90°,Z 90°,AHH5_RTzl710,90,0.03,mm,_Split,False,20,°C,73471.10821610001,MPa ,262.132323,MPa ,443.44465599999995,MPa ,4.56127166866,%,none,polished,24.73,1.41,0.0,0.0,0.03,0.44,26.610000000000007
40,Z 90°,Z 90°,AHH5_RTzl711,90,0.03,mm,_Split,False,20,°C,73887.5209854,MPa ,260.377423,MPa ,442.388825,MPa ,4.732827327930001,%,none,polished,24.73,1.41,0.0,0.0,0.03,0.44,26.610000000000007
41,Z 90°,Z 90°,AHH5_RTzl712,90,0.03,mm,_Split,False,20,°C,73951.39134039999,MPa ,266.376891,MPa ,448.449182,MPa ,4.570270879700001,%,none,polished,24.73,1.41,0.0,0.0,0.03,0.44,26.610000000000007
42,Z 90° 2h 300 °C,Z 90° 2h 300 °C,AHH6_RTzl710,90,0.03,mm,_Split,True,20,°C,71949.6057019,MPa ,164.679607,MPa ,266.639304,MPa ,14.8553869876,%,T5,polished,24.73,1.41,0.0,4.62,0.03,0.44,31.230000000000004
43,Z 90° 2h 300 °C,Z 90° 2h 300 °C,AHH6_RTzl711,90,0.03,mm,_Split,True,20,°C,70792.63048410001,MPa ,164.95910800000001,MPa ,267.09855899999997,MPa ,14.4957948177,%,T5,polished,24.73,1.41,0.0,4.62,0.03,0.44,31.230000000000004
44,Z 90° 2h 300 °C,Z 90° 2h 300 °C,AHH6_RTzl712,90,0.03,mm,_Split,True,20,°C,69469.51266919999,MPa ,165.849311,MPa ,267.127766,MPa ,14.959503180499999,%,T5,polished,24.73,1.41,0.0,4.62,0.03,0.44,31.230000000000004
45,Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_15zl713,45,0.09,mm,______Standard_160324_only_up,False,150,°C,73182.55606900001,MPa ,211.200591,MPa ,258.513668,MPa ,6.843470236819999,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
46,Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_25zl714,45,0.09,mm,______Standard_160324_only_up,False,250,°C,55968.7695961,MPa ,127.130628,MPa ,140.000572,MPa ,12.4286030824,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
47,Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_28zl715,45,0.09,mm,______Standard_160324_only_up,False,280,°C,46660.3992546,MPa ,100.952912,MPa ,104.817477,MPa ,14.6168224184,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
48,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl704,45,0.09,mm,______Standard_160324_only_up,False,20,°C,78054.3182734,MPa ,235.642429,MPa ,296.558615,MPa ,0.9836612322799998,%,none,raw,10.0,1.42,0.0,0.0,0.03,0.0,11.45
